Review_Number,Overall_Sentiment,Service_1,Sentiment_1,Review_of_1,Service_2,Sentiment_2,Review_of_2
1,Positive,Room Quality,Positive,"""The room was immaculate and the view was breathtaking.""",Check-in/Check-out,Negative,"""However, the check-in process was disappointingly slow."""
2,Positive,Room Quality,Neutral,The review does not mention room quality at all. It focuses solely on the dining experience and food service.,Service,Positive,"""Room service was prompt and the food quality exceeded our expectations."""
3,Neutral,,,,,,
4,Positive,Service,Positive,"""The concierge team offered fantastic local recommendations. Their advice made our trip much more enjoyable.""",,,
5,Neutral,Room Quality,Neutral,There is no mention of room quality in this review. It focuses solely on the gym and pool facilities.,Facilities,Neutral,"""We found the gym facilities to be state-of-the-art and well-maintained. The pool area, conversely, felt crowded."""
6,Negative,Room Quality,Negative,"""Our primary issue was the unreliable Wi-Fi signal in the room. It was nearly impossible to hold a video call.""",,,
7,Positive,Service,Positive,"""Staff members were universally courteous and professional. Their warm hospitality was the highlight of our stay.""",,,
8,Positive,Room Quality,Neutral,The review does not mention room quality at all. It focuses solely on the breakfast buffet.,Dining,Positive,"""The breakfast buffet offered a spectacular variety of options, catering to all dietary needs. Excellent quality overall."""
9,Negative,Room Quality,Negative,"""The mattress was uncomfortably firm, leading to a poor night's sleep.""",,,
10,Neutral,Facilities,Positive,"""The spa treatment was wonderfully relaxing"" (This implies a positive experience with the spa, which is considered part of the hotel's facilities.)",Check-in/Check-out,Negative,"""The billing at checkout contained several errors."""
11,Negative,Room Quality,Negative,"""The decor felt quite dated and is in dire need of a modernization.""",,,
12,Negative,Room Quality,Negative,"The amenities did not justify the high room rate, implying a disconnect between cost and what was provided within the room itself.",Value,Negative,"""For the price we paid, the overall value felt lacking. The amenities did not justify the high room rate."""
13,Positive,Service,Positive,"""The efficiency of the valet service was impressive. We never had to wait long for our car.""",,,
14,Neutral,Room Quality,Positive,"""The blackout curtains were fantastic, ensuring a completely dark room for sleeping."" (While the air conditioning was noted, the positive comment about the curtains significantly contributes to a positive perception of room quality.)",,,
15,Negative,Dining,Negative,"""We were disappointed by the limited vegetarian options in the main restaurant. The poolside bar had a better selection.""",Facilities,Neutral,"""The poolside bar had a better selection."" (This refers to the facilities – specifically, the bar – without expressing positive or negative sentiment directly.)"
16,Positive,,,,,,
17,Positive,Service,Positive,"""Check-out was a breeze with the express service. We appreciated the efficiency...""",Check-in/Check-out,Positive,"""Check-out was a breeze with the express service. We appreciated the efficiency after a long stay."""
18,Neutral,Room Quality,Positive,"""On a positive note, the bed linens were of a very high, luxurious quality.""",,,
19,Positive,Service,Neutral,"The review doesn't explicitly mention ""service"" but alludes to it through the ""complimentary evening cookies were a lovely touch."" This suggests a positive aspect of service – providing thoughtful amenities. However, it’s not direct praise of staff interaction or assistance.",Facilities,Positive,"""The family-friendly pool was a huge hit with our children."""
20,Negative,Room Quality,Neutral,"""The in-room safe was thankfully easy to operate."" This comment touches on a feature *within* the room, but doesn't offer an overall assessment of room quality beyond that specific amenity.",,,
21,Positive,Service,Positive,"""Printing services were surprisingly affordable."" This implies a positive experience with the service provided, specifically regarding cost.",Value,Positive,"""Printing services were surprisingly affordable."""
22,Negative,Room Quality,Negative,"""Our room had a persistent musty odor that the staff was unable to resolve.""",Service,Negative,"""The staff was unable to resolve"" the issue with the room's musty odor."
23,Positive,Check-in/Check-out,Positive,"""The welcome drink upon arrival was a refreshing and appreciated gesture. It set a positive tone for our visit."" (This refers to the check-in experience.)",,,
24,Negative,Room Quality,Negative,"""Soundproofing between rooms is poor. We could clearly hear conversations from the adjacent room.""",,,
25,Positive,Service,Neutral,"There is no mention of ""Service"" in this review. It focuses solely on the hotel's sustainability efforts and toiletries.",,,
26,Negative,,,,,,
27,Neutral,Room Quality,Negative,"""The lighting in the bathroom was too dim for getting ready.""",,,
28,Neutral,Service,Positive,"""The staff did their best to find us a spot.""",Facilities,Negative,"""Booking a spa appointment was difficult as they were consistently full."""
29,Positive,Room Quality,Neutral,The review makes absolutely no mention of room quality whatsoever. It focuses solely on the rooftop bar and its view.,Value,Neutral,"""The view from the rooftop bar is absolutely spectacular, justifying the premium drink prices."" This implies the price isn't necessarily a *bargain*, but acceptable given the quality of the experience. It doesn’t explicitly praise or criticize value."
30,Neutral,,,,,,
31,Neutral,Room Quality,Negative,"""Housekeeping was inconsistent; our room was missed one day.""",Service,Positive,"""The front desk was apologetic and offered a service credit."""
32,Positive,,,,,,
33,Negative,Room Quality,Negative,"""The coffee maker in the room was a low-quality model and leaked.""",,,
34,Positive,Room Quality,Neutral,There is no mention of room quality in this review. The entire focus is on the Kids' Club and staff.,Service,Positive,"""Staff at the Kids' Club were energetic and kept our children happily engaged. We felt very comfortable leaving them."""
35,Neutral,,,,,,
36,Positive,Service,Positive,"""The laundry service was prompt and our clothes were returned perfectly pressed. The cost was reasonable for the convenience.""",Value,Positive,"""The cost was reasonable for the convenience."""
37,Negative,Room Quality,Neutral,There is no mention of room quality in this review. The entire focus is on the billing and front desk service.,,,
38,Positive,Room Quality,Positive,"""The quality of in-room dining was a pleasant surprise. The club sandwich was particularly delicious and well-made.""",,,
39,Negative,Service,Negative,"""Service was slow and a bit chaotic.""",Dining,Negative,"""The hotel felt understaffed, especially in the restaurant during breakfast. Service was slow and a bit chaotic."""
40,Positive,Dining,Neutral,There is no mention of dining in this review. It focuses solely on the pillow menu and sleep comfort.,,,
41,Negative,Service,Negative,"The review doesn't directly mention ""service"" but implies a negative experience related to it through the difficulty encountered with the hotel’s mobile app and reservation process. This suggests issues with the support or systems designed to assist guests.",,,
42,Positive,Service,Positive,"""The doormen were always cheerful and helpful, providing a great first and last impression of the hotel.""",,,
43,Negative,Room Quality,Negative,"""There were not enough power outlets near the bed for charging devices. A common but annoying oversight in modern hotels.""",,,
44,Neutral,Dining,Negative,"""The themed dinner night was a fun concept, but the execution and food quality were mediocre at best.""",,,
45,Positive,Room Quality,Neutral,The review does not mention room quality at all. It focuses solely on the pet-friendly amenities and treatment of their dog.,Service,Positive,"""Our dog was treated like a VIP, which we greatly appreciated."" This implies excellent and personalized service towards the pet (and by extension, the guests)."
46,Neutral,Room Quality,Negative,"""The room felt smaller than advertised in the pictures online. It was clean and functional, just a bit cramped.""",,,
47,Positive,,,,,,
48,Positive,Room Quality,Neutral,"The review does not mention room quality directly. It focuses solely on the turndown service, a separate amenity.",Service,Positive,"""The turndown service was a delightful luxury that made us feel pampered each evening."""
49,Positive,Service,Positive,"""Booking one was a simple process via the concierge.""",,,
50,Positive,,,,,,
51,Positive,Room Quality,Positive,"""The temperature control in the room was very effective and maintained a comfortable climate throughout our stay.""",,,
52,Neutral,Service,Positive,"""The hotel car service was pristine and professional...""",Value,Negative,"""The hotel car service was significantly more expensive than local ride-sharing options."""
53,Positive,,,,,,
54,Neutral,Value,Negative,"""The prices were inflated"" - This directly implies a lack of value, suggesting the items were not worth what was being charged.",,,
55,Positive,Room Quality,Positive,"""The quietness of the room was remarkable. Despite being in a busy area, we heard no external noise."" (This implies good soundproofing and therefore contributes positively to room quality.)",,,
56,Negative,,,,,,
57,Positive,Room Quality,Positive,"""The ergonomic chair at the work desk was a thoughtful touch and very comfortable for long periods of work."" (This implies good quality furniture within the room, contributing to overall room quality.)",,,
58,Neutral,Room Quality,Negative,"While not directly describing the room itself, the repeated key card deactivation suggests issues with the room's locking mechanism or electronic access system, impacting overall room quality and guest experience.",Service,Positive,"""The front desk staff were patient in helping us each time."""
59,Positive,Dining,Positive,"""The freshness and quality of the seafood at the main restaurant were exceptional.""",,,
60,Negative,Facilities,Negative,"""The pool was closed for maintenance for one full day of our stay without prior notice, which was a major disappointment.""",,,
61,Positive,Service,Positive,"""The staff's ability to remember our names and preferences was truly impressive and showed a high level of training.""",,,
62,Negative,Room Quality,Negative,"""The bathroom layout was awkward, with very little counter space for toiletries.""",Facilities,Negative,"""The bathroom layout was awkward, with very little counter space for toiletries."""
63,Neutral,Dining,Negative,"""The complimentary breakfast ended too early on weekends. Extending the hours would be a great improvement.""",,,
64,Negative,Room Quality,Neutral,"The review does not mention room quality directly. It focuses on the hotel's overall atmosphere, describing it as ""corporate"" and lacking warmth or character, but doesn’t comment on the condition, cleanliness, or features of the rooms themselves.",,,
65,Positive,Service,Positive,"""The concierge managed to secure us a last-minute reservation at a very popular restaurant. Their connections are invaluable.""",Dining,Positive,"""The concierge managed to secure us a last-minute reservation at a very popular restaurant. Their connections are invaluable."""
66,Negative,Room Quality,Negative,"""Our 'ocean view' room had only a sliver of a view, partially obstructed by another building. A bit misleading.""",,,
67,Negative,Check-in/Check-out,Negative,"""The hotel's policy on late check-out was very inflexible, even for loyalty program members.""",,,
68,Positive,,,,,,
69,Positive,Room Quality,Neutral,The review does not mention room quality at all. It focuses solely on the jogging path amenity.,,,
70,Neutral,Room Quality,Neutral,"The review does not directly address room quality. It mentions the room service menu, which is a related but separate aspect of the hotel experience.",Service,Negative,"""The room service menu has not changed in years. It could use an update with more contemporary dishes."""
71,Positive,Room Quality,Neutral,The review does not mention room quality at all. It focuses solely on the cleanliness of elevators and common hallways.,,,
72,Neutral,Service,Positive,"""The staff handled it professionally with good communication.""",,,
73,Positive,,,,,,
74,Negative,Service,Negative,"""The on-site ATM was out of service for our entire stay, which was an inconvenience."" (While not directly mentioning staff interaction, the lack of a working ATM impacts the overall guest experience and can be interpreted as a failure in providing expected services.)",,,
75,Positive,Room Quality,Negative,"""Our initial room had a maintenance issue...""",Service,Positive,"""The staff demonstrated excellent problem-solving skills when our initial room had a maintenance issue, moving us quickly."""
76,Neutral,Room Quality,Neutral,There is no mention of room quality in this review. It focuses solely on the club lounge and its offerings.,Facilities,Negative,"""The value of the club lounge access was debatable. The evening offerings were sparse."" (This refers to facilities – specifically, the amenities and food/drink provided within the club lounge.)"
77,Positive,Room Quality,Positive,"""The beds were so comfortable that we inquired about purchasing the same mattress for our home.""",,,
78,Negative,,,,,,
79,Positive,Room Quality,Positive,"""Our room was serviced perfectly in no time at all."" (This implies the room itself was satisfactory and well-maintained, leading to a positive assessment of its quality.)",Service,Positive,"""The speed and efficiency of the housekeeping team were amazing. Our room was serviced perfectly in no time at all."""
80,Positive,Check-in/Check-out,Positive,"""The hotel's app for keyless entry worked flawlessly and was very convenient."" (This implies a smooth and easy check-in process due to the keyless entry.)",,,
81,Negative,Service,Negative,"""The restaurant service was painfully slow on a night it wasn't even busy. We waited 45 minutes for our main course.""",Dining,Negative,"""The restaurant service was painfully slow on a night it wasn't even busy. We waited 45 minutes for our main course."""
82,Positive,Room Quality,Neutral,The review does not mention room quality at all. It focuses solely on the outdoor pool.,Facilities,Positive,"""The heated outdoor pool was a fantastic feature, allowing us to swim comfortably even on a cool evening."""
83,Negative,,,,,,
84,Positive,,,,,,
85,Neutral,Room Quality,Negative,"""Our room lacked a full-length mirror, which was an odd omission.""",,,
86,Positive,Room Quality,Neutral,There is no mention of room quality in this review. The entire review focuses on the staff and their service.,Service,Positive,"""The staff's proactive service was noteworthy; they often anticipated our needs before we even asked."""
87,Neutral,Dining,Negative,"""The breakfast pastries were stale on two separate mornings. The fresh fruit selection, however, was excellent.""",,,
88,Negative,,,,,,
89,Positive,,,,,,
90,Neutral,Room Quality,Negative,"""We had to call maintenance to fix a running toilet in our bathroom.""",,,
91,Positive,,,,,,
92,Negative,Dining,Negative,"""The children's menu in the restaurant was unimaginative, offering only the usual fried options.""",,,
93,Positive,,,,,,
94,Negative,Facilities,Negative,"""The water in the pool felt over-chlorinated and irritated our eyes.""",,,
95,Negative,Service,Negative,"""The front desk was understaffed, leading to a long queue at check-in. The single staff member was doing her best.""",Check-in/Check-out,Negative,"""The front desk was understaffed, leading to a long queue at check-in. The single staff member was doing her best."""
96,Positive,Room Quality,Positive,"""The room was spacious, with a separate seating area that was perfect for relaxing.""",Facilities,Positive,"""The room was spacious, with a separate seating area that was perfect for relaxing."" This implies a positive experience with the room's layout and included furniture – aspects of hotel facilities."
97,Positive,,,,,,
98,Positive,,,,,,
99,Negative,,,,,,
100,Positive,Room Quality,Positive,"""Everything feels clean, polished, and well-cared for."" While not explicitly mentioning a 'room', the review's description of overall property maintenance strongly implies positive room quality.",,,
101,Neutral,Room Quality,Neutral,"""The bed was exceptionally comfortable, but the pillows were too flat for our liking.""",,,
102,Negative,Room Quality,Negative,"The review doesn't directly mention room quality itself. However, the complaint about slow and cold room service implies a negative experience related to the hotel’s overall operational standards which impacts the perceived quality of the stay.",Service,Negative,"""The room service arrived cold, nearly 30 minutes after the quoted time."""
103,Positive,Room Quality,Neutral,There is no mention of room quality in this review. It focuses solely on the hotel's location and proximity to attractions.,,,
104,Neutral,Room Quality,Neutral,There is no mention of room quality in this review. The feedback focuses solely on the hotel's gym facilities.,Facilities,Negative,"""The gym was overcrowded in the mornings. It would be beneficial to expand the space or add more equipment."""
105,Positive,Service,Positive,"""The staff's attention to detail is remarkable. They remembered our coffee order every morning.""",,,
106,Negative,Service,Negative,"""Check-in was chaotic. The front desk seemed disorganized despite having multiple staff members present.""",Check-in/Check-out,Negative,"""Check-in was chaotic. The front desk seemed disorganized despite having multiple staff members present."""
107,Negative,Room Quality,Neutral,There is no mention of room quality in this review. The feedback focuses solely on the breakfast buffet.,Dining,Negative,"""The breakfast buffet lacked fresh vegetable options. It was very carb and meat-heavy."""
108,Positive,Service,Positive,"""The valet parking service, while expensive, was incredibly convenient and efficient.""",Value,Negative,"""The valet parking service, while expensive..."" indicates a negative perception of value due to the high cost. The convenience is acknowledged, but the expense detracts from overall value."
109,Positive,Room Quality,Positive,"""We loved the modern design of the room, especially the open-concept bathroom. Very stylish.""",,,
110,Positive,,,,,,
111,Negative,Room Quality,Negative,"""Our 'city view' room overlooked an unsightly alleyway and dumpsters. The description was not accurate.""",,,
112,Negative,Service,Negative,"""The concierge was not very knowledgeable about public transportation routes, providing incorrect information.""",,,
113,Positive,Dining,Positive,"""The quality of the food at the hotel's signature restaurant was outstanding, worth every penny.""",Value,Positive,"""worth every penny"" indicates a positive perception of value, suggesting the reviewer felt the cost was justified by the quality of the food."
114,Negative,Room Quality,Negative,"""The air conditioning system was very loud, kicking on and off throughout the night and disturbing our sleep.""",,,
115,Positive,Service,Positive,"""Housekeeping staff were friendly and always greeted us in the hallways. They did a fantastic job.""",,,
116,Negative,Room Quality,Neutral,There is no mention of room quality in this review. It focuses solely on the pool area and service there.,Service,Negative,"""Service there seemed a bit overwhelmed."""
117,Positive,Room Quality,Neutral,"The review doesn't directly comment on room quality itself. It mentions the ease of requesting extra pillows and towels, which implies a need for them, but doesn’t assess the base condition or comfort of the room.",,,
118,Positive,Room Quality,Positive,"""The soundproofing is excellent. We never heard any noise from neighboring rooms or the hallway."" (This directly relates to a key aspect of room quality - noise levels and isolation.)",,,
119,Negative,,,,,,
120,Positive,,,,,,
121,Neutral,Room Quality,Neutral,"""We had an issue with the TV remote not working. Maintenance replaced the batteries promptly."" (While there was a problem, the quick resolution suggests it didn't significantly detract from the overall room quality experience.)",,,
122,Negative,Room Quality,Negative,"While noting cleanliness (""very clean""), the reviewer describes the hotel as ""sterile"" and lacking ""character,"" implying a deficiency in room quality beyond just basic functionality. It suggests a lack of comfort or appealing design.",,,
123,Positive,Room Quality,Neutral,There is no mention of room quality in this review. The entire focus is on the staff and their handling of dietary allergies.,Service,Positive,"""The staff went out of their way to accommodate my dietary allergies, which I greatly appreciated."""
124,Positive,,,,,,
125,Negative,Value,Negative,"""The price of drinks at the lobby bar is excessive.""",,,
126,Positive,Room Quality,Positive,"""The blackout curtains were highly effective. The room remained dark and conducive to sleep.""",,,
127,Negative,Check-in/Check-out,Negative,"""The check-out process involved a long wait, and there was an error on our folio that needed correction.""",,,
128,Positive,Room Quality,Positive,"""The selection of teas and coffees in the room was excellent and replenished daily.""",,,
129,Positive,Service,Positive,"""The hotel security team was visible and professional, which made us feel very secure during our stay."" (While not explicitly labeled 'service,' the security team's actions are a form of service provided by the hotel.)",,,
130,Negative,,,,,,
131,Positive,,,,,,
132,Negative,Dining,Negative,"""...requiring a taxi for almost any errand or meal.""",,,
133,Positive,Room Quality,Neutral,The review does not mention room quality at all. It focuses solely on the in-room dining menu.,Dining,Positive,"""The in-room dining menu offered a great variety of healthy options, not just typical comfort food."""
134,Negative,Service,Negative,"""The staff at the front desk seemed indifferent and not particularly welcoming upon our arrival.""",Check-in/Check-out,Negative,"""The staff at the front desk seemed indifferent and not particularly welcoming upon our arrival."""
135,Neutral,,,,,,
136,Positive,Value,Positive,"""The complimentary airport shuttle was a fantastic amenity that saved us time and money.""",,,
137,Negative,Room Quality,Negative,"""Our room had a faint smell of smoke, despite being a non-smoking floor. The hotel was unable to move us.""",,,
138,Positive,Service,Positive,"""The turndown service with a small chocolate on the pillow was a lovely, classic touch.""",,,
139,Positive,Room Quality,Neutral,There is no mention of room quality in this review. It focuses solely on the kids' club activities.,Facilities,Neutral,"The review mentions ""kids' club activities,"" which could be considered a facility offered by the hotel, but it doesn’t directly discuss the facilities themselves (e.g., condition, cleanliness, quality of equipment). It focuses solely on the *activities* provided within that facility."
140,Negative,Room Quality,Negative,"""The water pressure in the shower was disappointingly weak. It took forever to rinse out shampoo.""",,,
141,Neutral,,,,,,
142,Positive,Room Quality,Neutral,There is no mention of room quality in this review. It focuses solely on the staff's professionalism and helpfulness.,Service,Positive,"""The staff's professionalism and willingness to help were consistent across all departments."""
143,Negative,Check-in/Check-out,Negative,"""The online check-in feature did not work, forcing us to wait in line anyway.""",,,
144,Positive,Room Quality,Positive,"""The bed was so comfortable it was difficult to get up in the morning. High-quality linens too.""",,,
145,Negative,Dining,Negative,"""The hotel restaurant is overrated and overpriced. Better food can be found just a block away.""",Value,Negative,"""The hotel restaurant is overrated and overpriced."""
146,Neutral,Room Quality,Neutral,There is no mention of room quality in this review. The feedback focuses solely on the spa and massage experience.,Facilities,Positive,"""The spa facilities were clean and serene..."""
147,Positive,Check-in/Check-out,Positive,"""The proximity to the main train station made our arrival and departure incredibly smooth."" (Arrival refers to check-in, and departure refers to check-out.)",,,
148,Negative,Room Quality,Negative,"""The room lacked sufficient storage space for luggage and clothing for a week-long stay.""",Facilities,Negative,"""The room lacked sufficient storage space for luggage and clothing for a week-long stay."""
149,Positive,Value,Positive,"""The evening happy hour at the bar offered great value with discounted drinks and complimentary appetizers.""",,,
150,Negative,Facilities,Negative,"""The pool was much smaller than it appeared in the promotional photos. It was always crowded.""",,,
151,Positive,Room Quality,Neutral,There is no mention of room quality in this review. The entire review focuses solely on the friendliness and demeanor of the hotel staff.,Service,Positive,"""Every staff member we interacted with was genuinely friendly and seemed happy to be working there."""
152,Negative,,,,,,
153,Positive,Room Quality,Neutral,"The review does not mention room quality directly. It only comments on the speed of room service, which is a separate hotel amenity.",Service,Positive,"""The speed of the room service was impressive. Our late-night snack arrived in under 20 minutes."""
154,Positive,Room Quality,Positive,"""The view of the city skyline from our room was magnificent, especially at night."" (While not explicitly detailing furnishings or cleanliness, a 'magnificent' view strongly implies a positive experience related to the room itself.)",,,
155,Negative,,,,,,
156,Positive,Service,Positive,"""The concierge provided a fantastic running map of the local area, which was very helpful.""",,,
157,Neutral,Dining,Negative,"""The breakfast selection was identical every single day. A little variety would be appreciated.""",,,
158,Positive,Room Quality,Positive,"""considering its location and the quality of the rooms.""",Value,Positive,"""The hotel is an excellent value for the money, considering its location and the quality of the rooms."""
159,Neutral,Room Quality,Negative,"""The towels provided were thin and rough.""",Facilities,Negative,"""The towels provided were thin and rough."""
160,Negative,Room Quality,Negative,"""The noise from the hotel bar's live music traveled up to our room on the third floor."" (This implies a lack of soundproofing and therefore impacts room quality negatively.)",,,
161,Positive,Room Quality,Neutral,"The review mentions being ""on our way to the room"" but provides no details or opinions regarding the actual quality of the room itself. It only references the speed of check-in and access to the room.",Service,Positive,"""The check-in staff were efficient and had us on our way to the room in minutes."""
162,Negative,Room Quality,Negative,"The review mentions ""in-room dining,"" which implies a service *within* the room. The food delivered to the room was described as ""bland and lukewarm,"" indicating poor quality related to the in-room experience.",Dining,Negative,"""The food from in-room dining was bland and lukewarm upon arrival. Not worth the price."""
163,Positive,Room Quality,Neutral,The review does not mention room quality at all. It focuses solely on the fitness center.,Facilities,Positive,"""The fitness center had a great range of free weights and machines, catering to a serious workout."""
164,Positive,,,,,,
